;precision;recall;f1-score;support
adios;1.0;0.9666666666666667;0.9830508474576272;30.0
bien;0.8636363636363636;1.0;0.926829268292683;19.0
buenas_noches;1.0;1.0;1.0;26.0
buenas_tardes;1.0;0.9583333333333334;0.9787234042553191;24.0
buenos_dias;0.9310344827586207;1.0;0.9642857142857143;27.0
como_estas;1.0;0.9130434782608695;0.9545454545454546;23.0
disculpa;1.0;0.9696969696969697;0.9846153846153847;33.0
gracias;0.9545454545454546;1.0;0.9767441860465116;21.0
hola;1.0;1.0;1.0;27.0
mal;1.0;0.9411764705882353;0.9696969696969697;17.0
mas_o_menos;1.0;1.0;1.0;30.0
me_ayudas;1.0;1.0;1.0;18.0
por_favor;1.0;1.0;1.0;30.0
accuracy;0.9815384615384616;0.9815384615384616;0.9815384615384616;0.9815384615384616
macro avg;0.9807089462261877;0.9806859168112366;0.9798839407073587;325.0
weighted avg;0.9833614661200869;0.9815384615384616;0.9817528832240312;325.0
