;precision;recall;f1-score;support
adios;1.0;1.0;1.0;30.0
bien;0.9047619047619048;1.0;0.95;19.0
buenas_noches;1.0;1.0;1.0;26.0
buenas_tardes;1.0;1.0;1.0;24.0
buenos_dias;1.0;1.0;1.0;27.0
como_estas;1.0;0.9130434782608695;0.9545454545454546;23.0
disculpa;1.0;1.0;1.0;33.0
gracias;1.0;1.0;1.0;21.0
hola;1.0;1.0;1.0;27.0
mal;1.0;1.0;1.0;17.0
mas_o_menos;1.0;1.0;1.0;30.0
me_ayudas;1.0;1.0;1.0;18.0
por_favor;1.0;1.0;1.0;30.0
accuracy;0.9938461538461538;0.9938461538461538;0.9938461538461538;0.9938461538461538
macro avg;0.9926739926739927;0.9933110367892977;0.9926573426573426;325.0
weighted avg;0.9944322344322345;0.9938461538461538;0.9938601398601399;325.0
